pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164534,PLYSCVSCYOQVRP-UHFFFAOYSA-N,Midazolam hydrochloride,Cc1ncc2CN=C(c3ccccc3F)c3cc(Cl)ccc3-n12.Cl,solo_cribado,False,2.84,,False,False,,,,4.3137,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0165059,WLRMANUAADYWEA-NWASOUNVSA-N,S(-)-Timolol maleate,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.OC(=O)/C=C\C(=O)O,solo_cribado,False,6.73,,False,False,,,,4.3117,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164738,GEPMAHVDJHFBJI-UHFFFAOYSA-N,Xanthinol nicotinate,CN(CCO)CC(O)Cn1cnc2n(C)c(=O)n(C)c(=O)c12.OC(=O)c1cccnc1,solo_cribado,False,12.07,,False,False,,,,4.3108,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164781,MWYHLEQJTQJHSS-UHFFFAOYSA-N,LY 171883,CCCc1c(OCCCCc2nn[nH]n2)ccc(C(C)=O)c1O,solo_cribado,False,5.45,,False,False,,,,4.3102,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164973,CYLGPNGMJHSIPL-VWDRLOGHSA-N,Rimcazole dihydrochloride,C[C@H]1CN(CCCn2c3ccccc3c3ccccc23)C[C@@H](C)N1.O.Cl,solo_cribado,False,-0.67,,False,False,,,,4.3097,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164747,YEEZWCHGZNKEEK-UHFFFAOYSA-N,Zafirlukast,COc1cc(ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12)C(=O)NS(=O)(=O)c1ccccc1C,solo_cribado,False,3.3,,False,False,,,,4.3097,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164652,WPPIVKOINGQRTL-UHFFFAOYSA-N,Piribedil hydrochloride,C(N1CCN(CC1)c1ncccn1)c1ccc2OCOc2c1.O.Cl,solo_cribado,False,3.33,,False,False,,,,4.3086,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164718,FIHJKUPKCHIPAT-NKHDUEHSSA-N,Artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(O)=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,solo_cribado,False,13.77,,False,False,,,,4.3032,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164765,RAPZEAPATHNIPO-UHFFFAOYSA-N,Risperidone,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,solo_cribado,False,4.8,,False,False,,,,4.3016,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164715,OVSQVDMCBVZWGM-QSOFNFLRSA-N,Isoquercitrin,OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,solo_cribado,False,10.08,,False,False,,,,4.2976,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164401,ZWTAUKBOBNCWLR-LWLMTPJXSA-N,SB 205607 dihydrobromide,CN1CC[C@@]2(Cc3nc4ccccc4cc3C[C@H]2C1)c1cccc(O)c1.O.Br.Br,solo_cribado,False,12.17,,False,False,,,,4.2944,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164464,RHBRMCOKKKZVRY-ITLPAZOVSA-N,Naltrexone hydrochloride,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.Cl,solo_cribado,False,13.0,,False,False,,,,4.2914,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164568,MBHNWCYEGXQEIT-UHFFFAOYSA-N,Fluphenazine dihydrochloride,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1.Cl.Cl,solo_cribado,False,7.98,,False,False,,,,4.2913,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164743,SGRYPYWGNKJSDL-UHFFFAOYSA-N,Amlexanox,CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O,solo_cribado,False,7.43,,False,False,,,,4.2886,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164778,RKWGIWYCVPQPMF-UHFFFAOYSA-N,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,solo_cribado,False,11.38,,False,False,,,,4.2871,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164939,KWORUUGOSLYAGD-UHFFFAOYSA-N,Esomeprazole magnesium,COc1ccc2[n-]c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C.COc1ccc2[n-]c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C.[Mg+2],mic_confirmado,False,10.5,,False,True,,,,4.286,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164536,IPOKCKJONYRRHP-UHFFFAOYSA-N,Balsalazide,OC(=O)CCNC(=O)c1ccc(cc1)N=Nc1ccc(O)c(c1)C(O)=O,solo_cribado,False,9.82,,False,False,,,,4.2858,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164985,ZTHJULTYCAQOIJ-WXXKFALUSA-N,Quetiapine fumarate,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12.OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12.OC(=O)/C=C/C(=O)O,solo_cribado,False,17.8,,False,False,,,,4.2837,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164473,IWEQQRMGNVVKQW-OQKDUQJOSA-N,Toremifene citrate,CN(C)CCOc1ccc(cc1)C(=C(\CCCl)c1ccccc1)\c1ccccc1.OC(=O)CC(O)(CC(=O)O)C(=O)O,solo_cribado,False,8.47,,False,False,,,,4.2824,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164756,WNMJYKCGWZFFKR-UHFFFAOYSA-N,Alfuzosin,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,solo_cribado,False,-2.08,,False,False,,,,4.281,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164467,CRJHBCPQHRVYBS-UHFFFAOYSA-N,Mesoridazine besylate,CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O.OS(=O)(=O)c1ccccc1,solo_cribado,False,-1.64,,False,False,,,,4.2806,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164677,QICQDZXGZOVTEF-MELYUZJYSA-N,Indatraline hydrochloride,CN[C@@H]1C[C@H](c2ccccc12)c1ccc(Cl)c(Cl)c1.Cl,solo_cribado,False,-0.11,,False,False,,,,4.2784,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164444,RGPDIGOSVORSAK-STHHAXOLSA-N,Naloxone hydrochloride,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.Cl,solo_cribado,False,-0.36,,False,False,,,,4.2771,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164841,GJOHLWZHWQUKAU-UHFFFAOYSA-N,Primaquine diphosphate,COc1cc(NC(C)CCCN)c2ncccc2c1.OP(=O)(O)O.OP(=O)(O)O,mic_confirmado,False,15.75,,False,True,,,,4.2769,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164377,PQCAUHUKTBHUSA-UHFFFAOYSA-N,7-Nitroindazole,[O-][N+](=O)c1cccc2c[nH]nc12,solo_cribado,False,13.1,,False,False,,,,4.2767,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164576,VKHAHZOOUSRJNA-GCNJZUOMSA-N,RU-486,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,solo_cribado,False,3.7,,False,False,,,,4.276,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164430,MQTOSJVFKKJCRP-BICOPXKESA-N,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,mic_confirmado,False,51.9,,False,True,,,,4.2732,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164635,STTADZBLEUMJRG-IKNOHUQMSA-N,"Dextromethorphan hydrobromide, monohydrate",COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1.O.Br,solo_cribado,False,8.1,,False,False,,,,4.2727,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164378,GJPPHXDWMLTXLS-UHFFFAOYSA-N,MDL 73005EF hydrochloride,O=C1CC2(CCCC2)CC(=O)N1CCNCC1COc2ccccc2O1.Br.Br,solo_cribado,False,12.27,,False,False,,,,4.2722,concordancia_negativa
