pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164504,QDWJJTJNXAKQKD-UHFFFAOYSA-N,Trihexyphenidyl hydrochloride,OC(CCN1CCCCC1)(C1CCCCC1)c1ccccc1.Cl,solo_cribado,False,14.72,,False,False,,,,3.8524,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165035,GKTWGGQPFAXNFI-HNNXBMFYSA-N,Clopidogrel,COC(=O)[C@@H](N1CCc2sccc2C1)c1ccccc1Cl,solo_cribado,False,15.58,,False,False,,,,3.8523,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164477,YMTINGFKWWXKFG-UHFFFAOYSA-N,Fenofibrate,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,solo_cribado,False,12.37,,False,False,,,,3.8484,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164719,DWTTZBARDOXEAM-TYZXPVIJSA-N,Zeranol,CC1CCC[C@H](O)CCCCCc2cc(O)cc(O)c2C(=O)O1,solo_cribado,False,15.14,,False,False,,,,3.848,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164815,OPXLLQIJSORQAM-UHFFFAOYSA-N,Mebendazole,COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c1ccccc1,solo_cribado,False,13.95,,False,False,,,,3.8456,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164892,DWWHMKBNNNZGHF-UHFFFAOYSA-N,Lofexidine hydrochloride,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1.Cl,solo_cribado,False,8.67,,False,False,,,,3.8447,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164506,GLVAUDGFNGKCSF-UHFFFAOYSA-N,Mercaptopurine,Sc1[nH]cnc2ncnc12,solo_cribado,False,11.75,,False,False,,,,3.8437,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164708,SYTBZMRGLBWNTM-UHFFFAOYSA-N,Flurbiprofen,CC(C(O)=O)c1ccc(c(F)c1)-c1ccccc1,solo_cribado,False,44.27,,False,False,,,,3.8436,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165036,GHASVSINZRGABV-UHFFFAOYSA-N,5-Fluorouracil,Oc1ncc(F)c(O)n1,mic_confirmado,False,28.72,,True,False,,,,3.8435,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164446,MRBDMNSDAVCSSF-UHFFFAOYSA-N,Phentolamine mono-hydrochloride,Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1,solo_cribado,False,4.16,,False,False,,,,3.8435,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165039,MGCQZNBCJBRZDT-UHFFFAOYSA-N,Midodrine hydrochloride,COc1ccc(OC)c(c1)C(O)CNC(=O)CN.Cl,solo_cribado,False,15.97,,False,False,,,,3.8412,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164906,GIIZNNXWQWCKIB-UHFFFAOYSA-N,Salmeterol,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1,solo_cribado,False,18.07,,False,False,,,,3.8404,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164608,IDZASIQMRGPBCQ-UHFFFAOYSA-N,Nafadotride,CCCCN1CCCC1CNC(=O)c1cc(C#N)c2ccccc2c1OC,solo_cribado,False,9.49,,False,False,,,,3.8392,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165017,IHUNBGSDBOWDMA-AQFIFDHZSA-N,Acitretin,COc1cc(C)c(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)c(C)c1C,solo_cribado,False,5.45,,False,False,,,,3.8388,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164641,CHDPSNLJFOQTRK-UHFFFAOYSA-N,Betaxolol hydrochloride,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl,solo_cribado,False,19.43,,False,False,,,,3.8386,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164846,YFGHCGITMMYXAQ-UHFFFAOYSA-N,Modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,solo_cribado,False,8.07,,False,False,,,,3.8375,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164784,UEJJHQNACJXSKW-UHFFFAOYSA-N,Thalidomide,O=C1N(C2CCC(=O)NC2=O)C(=O)c2ccccc12,solo_cribado,False,8.64,,False,False,,,,3.8363,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164487,BJORNXNYWNIWEY-UHFFFAOYSA-N,Tetrahydrozoline hydrochloride,C1CN=C(N1)C1CCCc2ccccc12.Cl,solo_cribado,False,22.85,,False,False,,,,3.836,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165024,GIYXAJPCNFJEHY-UHFFFAOYSA-N,Fluoxetine hydrochloride,CNCCC(Oc1ccc(cc1)C(F)(F)F)c1ccccc1.Cl,solo_cribado,False,11.84,,False,False,,,,3.8356,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164382,WJFKNYWRSNBZNX-UHFFFAOYSA-N,Phenothiazine,N1c2ccccc2Sc2ccccc12,solo_cribado,False,12.74,,False,False,,,,3.8336,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164853,FSSICIQKZGUEAE-UHFFFAOYSA-N,Tripelennamine hydrochloride,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,solo_cribado,False,4.49,,False,False,,,,3.833,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165018,RHTNTTODYGNRSP-UHFFFAOYSA-N,Priscoline hydrochloride,C(C1=NCCN1)c1ccccc1.Cl,solo_cribado,False,13.23,,False,False,,,,3.8326,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164958,IYETZZCWLLUHIJ-UTONKHPSSA-N,Selegiline hydrochloride,C[C@H](Cc1ccccc1)N(C)CC#C.Cl,solo_cribado,False,19.46,,False,False,,,,3.8326,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165055,BGDKAVGWHJFAGW-UHFFFAOYSA-N,Tropicamide,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,solo_cribado,False,18.41,,False,False,,,,3.8305,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164603,SHAYBENGXDALFF-UHFFFAOYSA-N,Nortriptyline hydrochloride,CNCCC=C1c2ccccc2CCc2ccccc12.Cl,solo_cribado,False,14.17,,False,False,,,,3.8303,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164380,KKKDZZRICRFGSD-UHFFFAOYSA-N,Benzylimidazole,C(c1ccccc1)n1ccnc1,solo_cribado,False,12.69,,False,False,,,,3.8294,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164529,MQHYXXIJLKFQGY-UHFFFAOYSA-N,Methylperone hydrochloride,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1.Cl,solo_cribado,False,18.9,,False,False,,,,3.829,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164653,ZTOUXLLIPWWHSR-UHFFFAOYSA-N,Itopride hydrochloride,COc1ccc(cc1OC)C(=O)NCc1ccc(OCCN(C)C)cc1.Cl,solo_cribado,False,10.45,,False,False,,,,3.8289,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164374,LUCXVPAZUDVVBT-UNTBIKODSA-N,Atomoxetine hydrochloride,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,solo_cribado,False,12.55,,False,False,,,,3.8278,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164499,PCHPORCSPXIHLZ-UHFFFAOYSA-N,Diphenhydramine hydrochloride,CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,solo_cribado,False,6.73,,False,False,,,,3.827,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164644,GEKNCWBANDDJJL-UHFFFAOYSA-N,Esmolol hydrochloride,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1.Cl,solo_cribado,False,7.89,,False,False,,,,3.8229,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164970,JNLNPCNGMHKCKO-UHFFFAOYSA-N,Indirubin,Oc1[nH]c2ccccc2c1C1=Nc2ccccc2C1=O,solo_cribado,False,5.7,,False,False,,,,3.8228,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164522,QRXWMOHMRWLFEY-UHFFFAOYSA-N,Isoniazid,NNC(=O)c1ccncc1,solo_cribado,False,1.16,,False,False,,,,3.822,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164877,HEYVINCGKDONRU-UHFFFAOYSA-N,Bupropion hydrochloride,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,solo_cribado,False,9.58,,False,False,,,,3.8213,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165020,UQZKYYIKWZOKKD-UHFFFAOYSA-N,Orphenadrine hydrochloride,CN(C)CCOC(c1ccccc1)c1ccccc1C.Cl,solo_cribado,False,12.56,,False,False,,,,3.8213,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164923,NPUKDXXFDDZOKR-LLVKDONJSA-N,Etomidate,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,solo_cribado,False,14.32,,False,False,,,,3.8201,concordancia_negativa
